                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5991,                 1.0418,                 1.1319,                 0.5493,                0.57811,                0.54603,                0.23991,                 1.9955,                 1.4645,                 1.4095,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5854,                 1.0458,                 1.1234,                0.55544,                0.59098,                 0.5538,                0.23252,                 1.9844,                 1.4259,                 1.4147,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5735,                 1.0591,                 1.1275,                0.55623,                 0.5614,                 0.5293,                0.22177,                 1.9836,                 1.6193,                 1.4024,               0.001307,               0.001307,               0.001307
                     37,                 1.5775,                  1.049,                 1.1271,                0.57484,                0.61742,                0.58027,                 0.2569,                 1.9654,                  1.369,                  1.399,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.5894,                 1.0421,                 1.1264,                0.56856,                0.61586,                0.57394,                0.25856,                 1.9371,                 1.4291,                 1.3838,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5752,                 1.0298,                 1.1322,                0.59584,                0.58942,                0.56795,                0.24951,                 1.9975,                 1.4015,                 1.3951,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5681,                 1.0161,                 1.1123,                0.59543,                 0.6283,                0.59378,                0.26354,                 1.9174,                 1.3366,                 1.3613,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5544,                 1.0138,                 1.1232,                0.62424,                0.53655,                0.56899,                0.24573,                 1.9989,                 1.3946,                 1.4241,               0.001208,               0.001208,               0.001208
                     42,                 1.5528,                0.99477,                 1.1142,                0.60796,                0.56765,                0.56418,                0.24522,                 1.9922,                 1.4154,                 1.4334,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.5733,                 1.0183,                 1.1271,                0.61046,                0.57543,                0.56614,                0.24481,                 2.0116,                 1.4459,                  1.431,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.5112,                0.98015,                 1.1085,                0.57883,                 0.5972,                0.56129,                0.24197,                 1.9753,                 1.4364,                 1.4112,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.5166,                 0.9744,                  1.106,                0.55924,                0.63297,                0.57676,                0.25316,                 1.9674,                 1.4213,                 1.3869,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5523,                0.98465,                 1.1183,                0.59579,                0.60342,                0.58117,                0.25241,                 1.9842,                 1.3398,                 1.4189,               0.001109,               0.001109,               0.001109
                     47,                 1.5388,                0.97734,                 1.1018,                0.57272,                0.62364,                0.57884,                0.25623,                  1.953,                  1.367,                 1.3823,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.5138,                0.97445,                 1.0959,                0.57698,                0.59098,                0.56389,                0.24238,                 1.9615,                 1.4016,                 1.4115,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.502,                0.96536,                 1.0947,                0.55703,                0.61586,                0.57577,                 0.2522,                 1.9872,                 1.3787,                 1.4287,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.491,                0.95042,                 1.0968,                0.58752,                0.59876,                0.56579,                0.23986,                 2.0129,                 1.3872,                  1.435,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.5041,                0.94837,                 1.1011,                0.59948,                0.61742,                 0.5894,                0.25914,                 1.9493,                 1.3907,                 1.3859,                0.00101,                0.00101,                0.00101
                     52,                 1.5139,                0.95593,                    1.1,                0.60457,                0.58967,                0.58401,                0.25476,                 2.0118,                 1.3728,                 1.4125,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.5089,                0.95703,                  1.095,                 0.5744,                0.63297,                0.59467,                 0.2676,                  1.953,                 1.3752,                  1.382,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.4909,                0.93312,                 1.0852,                0.58143,                 0.6373,                0.58898,                0.25139,                 2.0057,                 1.3754,                 1.4185,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4563,                0.91579,                 1.0719,                0.57717,                 0.6283,                 0.5668,                 0.2385,                  2.022,                 1.3916,                 1.4382,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5026,                0.92025,                 1.0908,                0.62068,                0.58942,                0.58275,                0.25443,                 1.9553,                 1.3411,                 1.4041,               0.000911,               0.000911,               0.000911
                     57,                 1.4695,                0.91847,                 1.0838,                0.58016,                 0.5953,                0.58293,                0.26112,                 1.9628,                 1.3906,                  1.415,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.5015,                0.93443,                 1.0949,                0.59205,                0.58009,                0.56467,                0.25665,                 1.9484,                 1.4074,                  1.393,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.4698,                0.92225,                 1.0831,                0.57403,                0.61897,                0.59222,                0.25237,                 2.0278,                 1.3519,                 1.4179,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.4358,                0.90499,                  1.071,                 0.5938,                0.62675,                0.59824,                0.27102,                 1.9424,                 1.3592,                 1.3945,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.4696,                0.91722,                 1.0741,                0.57891,                0.62431,                0.58804,                0.25821,                 1.9767,                 1.3817,                 1.4103,               0.000812,               0.000812,               0.000812
                     62,                 1.4491,                0.89602,                 1.0694,                 0.6313,                0.60498,                0.59849,                0.26304,                 2.0016,                 1.3495,                  1.437,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.4343,                0.89408,                 1.0652,                0.57206,                0.61742,                0.55611,                0.24479,                 1.9985,                 1.3648,                 1.4568,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.4453,                0.89665,                 1.0722,                0.59456,                0.60342,                0.57109,                0.25169,                 1.9878,                 1.3502,                 1.4511,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.459,                0.90812,                 1.0784,                0.60037,                0.61275,                0.59006,                0.26624,                 1.9904,                 1.3767,                  1.424,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4511,                0.88224,                 1.0764,                0.58978,                0.61275,                0.58061,                 0.2607,                 2.0008,                 1.3269,                 1.4556,               0.000713,               0.000713,               0.000713
                     67,                 1.4336,                0.88279,                 1.0645,                0.64233,                0.57854,                0.59226,                0.25402,                 1.9917,                 1.3508,                 1.4302,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4665,                0.88941,                  1.076,                0.61707,                0.60399,                0.61699,                0.26765,                 2.0054,                 1.3596,                 1.4219,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4644,                0.89099,                 1.0783,                0.60275,                 0.5923,                0.58541,                0.25697,                 1.9801,                 1.3802,                 1.4223,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4492,                0.89016,                 1.0744,                0.57111,                 0.6283,                0.56588,                0.24663,                 2.0068,                 1.3807,                 1.4367,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.4389,                0.88664,                 1.0792,                0.60021,                0.58165,                0.56762,                0.24637,                 2.0201,                 1.3881,                 1.4261,               0.000614,               0.000614,               0.000614
                     72,                 1.4565,                 0.8909,                 1.0812,                0.61343,                0.60809,                0.59483,                0.26152,                 1.9798,                 1.3731,                 1.4252,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4077,                0.86379,                 1.0635,                 0.5715,                0.60187,                0.57005,                0.25424,                 1.9836,                  1.396,                 1.4185,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.4146,                0.87331,                 1.0655,                0.62398,                0.58631,                0.58031,                0.25914,                 1.9624,                 1.3729,                 1.4083,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.4117,                0.86054,                 1.0613,                0.58979,                0.62386,                0.58422,                0.25656,                 1.9842,                 1.3903,                 1.4261,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.4115,                0.85188,                 1.0587,                0.58889,                0.62519,                 0.5772,                0.25785,                 1.9742,                 1.3761,                 1.4093,               0.000515,               0.000515,               0.000515
                     77,                 1.4022,                0.86006,                 1.0536,                 0.6071,                0.57194,                0.56561,                0.25155,                 1.9841,                 1.3724,                 1.4362,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.3857,                0.84268,                 1.0509,                0.60426,                0.58892,                0.57883,                0.25776,                 1.9913,                 1.3764,                 1.4249,              0.0004754,              0.0004754,              0.0004754
                     79,                  1.395,                0.85145,                 1.0563,                 0.5891,                 0.5972,                0.55991,                0.24938,                 2.0008,                 1.4224,                 1.4311,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.3749,                0.82715,                  1.055,                0.58718,                0.62381,                0.58228,                0.26198,                 1.9964,                 1.3606,                 1.4396,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.3951,                0.83129,                 1.0503,                0.60934,                0.60964,                0.59575,                0.26139,                 2.0074,                 1.3918,                 1.4344,               0.000416,               0.000416,               0.000416
                     82,                 1.3805,                0.82883,                 1.0493,                0.59495,                0.60653,                0.58009,                0.26025,                 2.0064,                  1.407,                 1.4454,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.3923,                0.83685,                 1.0588,                0.59563,                0.61163,                0.59564,                0.26716,                 1.9934,                 1.4015,                 1.4362,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.388,                0.82052,                 1.0469,                0.58313,                0.60261,                0.57349,                0.25496,                 2.0017,                 1.3936,                  1.433,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.3723,                0.82189,                 1.0416,                0.60638,                0.61275,                0.59121,                0.26243,                 1.9917,                 1.3839,                 1.4317,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.3877,                0.83478,                 1.0572,                 0.5987,                0.62413,                 0.5983,                0.26158,                 2.0117,                 1.3631,                 1.4483,               0.000317,               0.000317,               0.000317
                     87,                 1.3683,                0.82866,                  1.043,                0.58826,                0.65008,                0.59545,                0.26711,                 1.9831,                 1.3541,                 1.4182,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.3606,                0.80975,                 1.0378,                0.59041,                0.62208,                0.58939,                0.26156,                 1.9865,                 1.3733,                 1.4186,              0.0002774,              0.0002774,              0.0002774
